File c:\winapps\mbi\logs\EVO_FW2P17_BRD5_15PCS_RESEAT17_DriverMonitor.log Created: 6/24/2019 04:36:58 PM Primary Diag: EVO_FW2p17.s19, N/A, N/A, N/A

LOTID:EVO_FW2P17_BRD5_15PCS_RESEAT17
Device Type: EVO_FW2p17
Entered Lot Qty: 15
Found Qty: 15
System ol03 MBI Burn In Wizard 6.7.8 - 
Device, start Time, Log Time, BIB, Driver, Slot, VDUT1 Cur,VDUT2 Cur,VDUT3 Cur,VDUT4 Cur,VDUT1 Volt,VDUT2 Volt,VDUT3 Volt,VDUT4 Volt,Read DUT data0,Chamber Temp,ReadBIB_temp,VDUT5 Volt,VDUT5 Cur,
Slot 5 NRDs = ,5,10,15,19,20,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:38:18 PM,01180101120005,02170104120083,5,4.1,6.1,0.2,0,1.72,1.39,3.55,2.75,24,3.25,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:39:31 PM,01180101120005,02170104120083,5,0.3,5.6,0.2,0,1.72,1.44,3.59,2.75,9999,3.27,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:42:05 PM,01180101120005,02170104120083,5,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0200,0200,0001,00AA,0055,0000,DD00,31F8,7EA3,AAAA,1979,0200,AA0D,0002,00AA,0055,0000,DD00,36FA,7FFF,AAAA,1933,0200,AA0D,0003,00AA,0055,0000,DD00,2C9E,7E7E,AAAA,1B8B,0200,AA0D,0004,00AA,0055,0000,DD00,2CB7,7FF8,AAAA,192F,0200,AA0D,0005,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0006,00AA,0055,0000,DD00,40D7,7F02,AAAA,1C04,0200,AA0D,0007,00AA,0055,0000,DD00,637F,7F99,AAAA,1991,0200,AA0D,0008,00AA,0055,0000,DD00,57DA,6BEE,AAAA,1D1C,0200,AA0D,0009,00AA,0055,0000,DD00,48AC,7FD3,AAAA,1C6E,0200,AA0D,000A,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,000B,00AA,0055,0000,DD00,2FFF,7FE0,AAAA,1770,0200,AA0D,000C,00AA,0055,0000,DD00,4E14,7DF5,AAAA,1C72,0200,AA0D,000D,00AA,0055,0000,DD00,4336,7F8D,AAAA,1BCF,0200,AA0D,000E,00AA,0055,0000,DD00,6488,7D1C,AAAA,1985,0200,AA0D,000F,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0010,00AA,0055,0000,DD00,4EAF,7FFF,AAAA,1CFE,0200,AA0D,0011,00AA,0055,0000,DD00,68F0,795C,AAAA,1B8F,0200,AA0D,0012,00AA,0055,0000,DD00,4865,7D2C,AAAA,1B6A,0200,AA3C,0013,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0014,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,9999,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,2222,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,CCC1,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,B200,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B211,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B202,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0001,0001,0001,0000,0000,0001,0001,0001,0001,0000,0000,0000,0001,0000,0000,0001,0001,0001,0000,0000,FF2B,600F,852C,CC2B,2E5F,4E4E,88FF,CE4D,63EE,02FC,2A61,7B93,2DD5,9F8E,9DD5,0F30,87C3,F670,C988,5024,00A4,2026,381D,E34C,B8AE,28C6,A9DA,722C,E11C,A915,5EC3,87EA,221C,3695,43DF,D7E3,A1BB,9838,D2AB,4292,76CE,9470,CA2F,6244,31AC,814A,216A,BF3C,6180,E238,0D53,BD47,47D6,6A4E,4BAE,10E3,0F11,134D,6222,C7AB,E491,B897,5287,111F,0895,19AF,B4BE,F52A,D1B0,C0B9,4CAB,DC98,45E8,4853,7F4D,A9D5,34D9,FE32,632E,CBC2,25A3,52C2,8EEB,B1C2,8282,5821,EF49,6EF4,CE4C,9932,DA94,5C0C,1A7A,8020,B544,73CD,5B48,8492,BC0D,D77F,95A6,4202,4E68,AEF4,16AE,E029,18A8,A198,49BC,5A42,EA8E,1515,5603,008A,CC68,CD27,029A,3E82,4AA6,2B14,4594,BB21,70C8,A477,0BF3,5041,9F1C,5A19,310D,1BB9,2F7F,7F08,E68E,2022,88D8,923E,0505,43E1,CFD4,2EDB,C028,A446,8FF3,3092,36B4,0169,BA6C,CFD5,B7AA,8C83,4A98,629B,FF66,63EF,F69B,164B,CF7F,6AE7,CEA0,8280,E57B,7E5F,CECF,6A5D,EFDD,EFF7,1AF0,A8C7,ABE9,F2F3,B353,D6B2,CD7B,25A2,21A1,62DB,EFDB,3977,7F40,33D1,0000,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:42:09 PM,01180101120005,02170104120083,5,4.1,6.1,0.2,0,1.74,1.4,3.55,2.75,25,3.25,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:42:22 PM,01180101120005,02170104120083,5,2.5,6.1,0.2,0,1.73,1.41,3.56,2.78,9999,3.26,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:43:35 PM,01180101120005,02170104120083,5,0.3,5.5,0.2,0,1.72,1.44,3.59,2.76,9999,3.26,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:44:49 PM,01180101120005,02170104120083,5,0.3,5.6,0.2,0,1.72,1.44,3.56,2.75,26,3.26,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:45:59 PM,01180101120005,02170104120083,5,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0200,0200,0001,00AA,0055,0000,DD00,4008,7F98,AAAA,1958,0300,AA0E,0002,00AA,0055,0000,DD00,20EC,7FFF,AAAA,1927,0300,AA1E,0003,00AA,0055,0000,DD00,2973,7DE4,AAAA,1B81,0300,AA0E,0004,00AA,0055,0000,DD00,2FFB,7FC5,AAAA,1908,0300,AA0E,0005,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0006,00AA,0055,0000,DD00,3B39,7929,AAAA,1B8A,0300,AA0E,0007,00AA,0055,0000,DD00,57E8,7DE5,AAAA,1841,0300,AA0E,0008,00AA,0055,0000,DD00,4A6D,6ED4,AAAA,1D5B,0300,AA24,0009,00AA,0055,0000,DD00,4457,7FF4,AAAA,1C0F,0300,AA0E,000A,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,000B,00AA,0055,0000,DD00,2A7F,7FCE,AAAA,1781,0300,AA0E,000C,00AA,0055,0000,DD00,5724,7B8C,AAAA,1BD7,0300,AA0E,000D,00AA,0055,0000,DD00,4B61,7FBE,AAAA,1BC9,0300,AA0E,000E,00AA,0055,0000,DD00,571B,7CB7,AAAA,198D,0300,AA0E,000F,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0010,00AA,0055,0000,DD00,472B,7FFF,AAAA,1CD0,0300,AA0E,0011,00AA,0055,0000,DD00,5D2D,7D15,AAAA,1BB2,0300,AA0E,0012,00AA,0055,0000,DD00,3F87,7DCF,AAAA,1AF0,0300,AA0E,0013,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0014,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,9999,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,2222,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,CCC1,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,B200,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B211,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B202,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0001,0001,0001,0000,0000,0001,0001,0001,0001,0000,0000,0000,0001,0000,0000,0001,0001,0001,0000,0000,FF2B,600F,852C,CC2B,2E5F,4E4E,88FF,CE4D,63EE,02FC,2A61,7B93,2DD5,9F8E,9DD5,0F30,87C3,F670,C988,5024,00A4,2026,381D,E34C,B8AE,28C6,A9DA,722C,E11C,A915,5EC3,87EA,221C,3695,43DF,D7E3,A1BB,9838,D2AB,4292,76CE,9470,CA2F,6244,31AC,814A,216A,BF3C,6180,E238,0D53,BD47,47D6,6A4E,4BAE,10E3,0F11,134D,6222,C7AB,E491,B897,5287,111F,0895,19AF,B4BE,F52A,D1B0,C0B9,4CAB,DC98,45E8,4853,7F4D,A9D5,34D9,FE32,632E,CBC2,25A3,52C2,8EEB,B1C2,8282,5821,EF49,6EF4,CE4C,9932,DA94,5C0C,1A7A,8020,B544,73CD,5B48,8492,BC0D,D77F,95A6,4202,4E68,AEF4,16AE,E029,18A8,A198,49BC,5A42,EA8E,1515,5603,008A,CC68,CD27,029A,3E82,4AA6,2B14,4594,BB21,70C8,A477,0BF3,5041,9F1C,5A19,310D,1BB9,2F7F,7F08,E68E,2022,88D8,923E,0505,43E1,CFD4,2EDB,C028,A446,8FF3,3092,36B4,0169,BA6C,CFD5,B7AA,8C83,4A98,629B,FF66,63EF,F69B,164B,CF7F,6AE7,CEA0,8280,E57B,7E5F,CECF,6A5D,EFDD,EFF7,1AF0,A8C7,ABE9,F2F3,B353,D6B2,CD7B,25A2,21A1,62DB,EFDB,3977,7F40,33D1,0000,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:46:02 PM,01180101120005,02170104120083,5,2.4,6.1,0.2,0,1.73,1.41,3.56,2.78,9999,3.26,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:46:15 PM,01180101120005,02170104120083,5,4.1,6.1,0.2,0,1.73,1.39,3.55,2.75,9999,3.25,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:47:29 PM,01180101120005,02170104120083,5,4.1,6,0.2,0,1.72,1.39,3.55,2.77,26,3.27,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:48:42 PM,01180101120005,02170104120083,5,0.2,5.6,0.2,0,1.72,1.44,3.56,2.75,9999,3.27,0.1,
